Language,Country,Region/State,City,Category,Subcategory,Provider,Vocalizing,URL
RU,Россия,,Тюмень,Новости,,72.ru,Портал 72 ру,http://72.ru/text/rss.xml
RU,Россия,,Тюмень,Все новости,,vsluh.ru,Портал Вслух ру,http://www.vsluh.ru/rss.rss
RU,Россия,,Тюмень,Туризм,,vsluh.ru,Портал Вслух ру,http://www.vsluh.ru/rss.rss?utf8=✓&rubrics%5B115%5D=1
RU,Россия,,Тюмень,Авто,,vsluh.ru,Портал Вслух ру,http://www.vsluh.ru/rss.rss?utf8=✓&rubrics%5B109%5D=1
RU,Россия,,Тюмень,Проишествия,,vsluh.ru,Портал Вслух ру,http://www.vsluh.ru/rss.rss?utf8=✓&rubrics%5B31%5D=1
RU,Россия,,Тюмень,Бизнес-календарь,,vsluh.ru,Портал Вслух ру,http://www.vsluh.ru/rss.rss?utf8=✓&rubrics%5B105%5D=1
RU,Россия,,Тюмень,Пресс-релизы,,vsluh.ru,Портал Вслух ру,http://www.vsluh.ru/rss.rss?utf8=✓&rubrics%5B114%5D=1
RU,Россия,,Тюмень,Интервью,,vsluh.ru,Портал Вслух ру,http://www.vsluh.ru/rss.rss?utf8=✓&rubrics%5B116%5D=1
RU,Россия,,,Страна и мир,,vsluh.ru,Портал Вслух ру,http://www.vsluh.ru/rss.rss?utf8=✓&rubrics%5B89%5D=1
RU,Россия,,Тюмень,Экономика,,vsluh.ru,Портал Вслух ру,http://www.vsluh.ru/rss.rss?utf8=✓&rubrics%5B21%5D=1
RU,Россия,,Тюмень,Спорт,,vsluh.ru,Портал Вслух ру,http://www.vsluh.ru/rss.rss?utf8=✓&rubrics%5B32%5D=1
RU,Россия,,Тюмень,Новости компаний,,vsluh.ru,Портал Вслух ру,http://www.vsluh.ru/rss.rss?utf8=✓&rubrics%5B112%5D=1
RU,Россия,,Тюмень,Общество,,vsluh.ru,Портал Вслух ру,http://www.vsluh.ru/rss.rss?utf8=✓&rubrics%5B30%5D=1
RU,Россия,,Тюмень,Кулинарный блокнот,,vsluh.ru,Портал Вслух ру,http://www.vsluh.ru/rss.rss?utf8=✓&rubrics%5B107%5D=1
RU,Россия,,Тюмень,Политика,,vsluh.ru,Портал Вслух ру,http://www.vsluh.ru/rss.rss?utf8=✓&rubrics%5B19%5D=1
RU,Россия,,Тюмень, Дайджест региональных СМИ,,vsluh.ru,Портал Вслух ру,http://www.vsluh.ru/rss.rss?utf8=✓&rubrics%5B86%5D=1
RU,Россия,,Тюмень,ТЭК,,vsluh.ru,Портал Вслух ру,http://www.vsluh.ru/rss.rss?utf8=✓&rubrics%5B20%5D=1
RU,Россия,,Тюмень, Еда в Тюмени,,vsluh.ru,Портал Вслух ру,http://www.vsluh.ru/rss.rss?utf8=✓&rubrics%5B113%5D=1
RU,Россия,,Тюмень,Недвижимость,,vsluh.ru,Портал Вслух ру,http://www.vsluh.ru/rss.rss?utf8=✓&rubrics%5B108%5D=1
RU,Россия,,Тюмень, Без грифа секретности,,vsluh.ru,Портал Вслух ру,http://www.vsluh.ru/rss.rss?utf8=✓&rubrics%5B100%5D=1
RU,Россия,,Тюмень,Культура,,vsluh.ru,Портал Вслух ру,http://www.vsluh.ru/rss.rss?utf8=✓&rubrics%5B181%5D=1
RU,Россия,,Тюмень,Вкусная страница,,vsluh.ru,Портал Вслух ру,http://www.vsluh.ru/rss.rss?utf8=✓&rubrics%5B182%5D=1
RU,Россия,,,Все новости,,meduza.io,Медуза,https://meduza.io/feed/all
RU,Россия,,,Главные Новости,,meduza.io,Медуза,https://meduza.io/feed/news
RU,Россия,,,Разное,,meduza.io,Медуза,https://meduza.io/feed/fun
RU,Россия,,,Статьи,,Планета HR,Планета эйч ар,http://www.planetahr.ru/rss/start
RU,Россия,,Бийск,Статьи,,Бийский рабочий,Бийский рабочий,http://www.biwork.ru/?format=feed&type=rss
RU,Россия,,Бийск,Новости,,Бийский рабочий,Бийский рабочий,http://www.biwork.ru/novosti.html?format=feed&type=rss
RU,Россия,,Бийск,Политика,,Бийский рабочий,Бийский рабочий,http://www.biwork.ru/politika.html?format=feed&type=rss
RU,Россия,,Бийск,Культура,,Бийский рабочий,Бийский рабочий,http://www.biwork.ru/kultura.html?format=feed&type=rss
RU,Россия,,Бийск,Общество,,Бийский рабочий,Бийский рабочий,http://www.biwork.ru/obshchestvo.html?format=feed&type=rss
RU,Россия,,Бийск,Спорт,,Бийский рабочий,Бийский рабочий,http://www.biwork.ru/sport.html?format=feed&type=rss
